Kategorie: Alle Kategorien

Woche,sperrmüll: (Deutschland)
2015-05-03,56
2015-05-10,50
2015-05-17,52
2015-05-24,55
2015-05-31,51
2015-06-07,58
2015-06-14,55
2015-06-21,50
2015-06-28,50
2015-07-05,46
2015-07-12,53
2015-07-19,49
2015-07-26,61
2015-08-02,58
2015-08-09,56
2015-08-16,63
2015-08-23,60
2015-08-30,55
2015-09-06,50
2015-09-13,52
2015-09-20,57
2015-09-27,57
2015-10-04,56
2015-10-11,54
2015-10-18,57
2015-10-25,54
2015-11-01,52
2015-11-08,51
2015-11-15,55
2015-11-22,50
2015-11-29,46
2015-12-06,40
2015-12-13,35
2015-12-20,28
2015-12-27,42
2016-01-03,49
2016-01-10,44
2016-01-17,42
2016-01-24,48
2016-01-31,43
2016-02-07,43
2016-02-14,48
2016-02-21,52
2016-02-28,48
2016-03-06,52
2016-03-13,53
2016-03-20,50
2016-03-27,58
2016-04-03,63
2016-04-10,56
2016-04-17,60
2016-04-24,52
2016-05-01,47
2016-05-08,49
2016-05-15,48
2016-05-22,52
2016-05-29,52
2016-06-05,52
2016-06-12,43
2016-06-19,48
2016-06-26,44
2016-07-03,55
2016-07-10,48
2016-07-17,54
2016-07-24,53
2016-07-31,66
2016-08-07,58
2016-08-14,58
2016-08-21,55
2016-08-28,59
2016-09-04,54
2016-09-11,57
2016-09-18,58
2016-09-25,58
2016-10-02,63
2016-10-09,55
2016-10-16,60
2016-10-23,55
2016-10-30,58
2016-11-06,50
2016-11-13,54
2016-11-20,53
2016-11-27,44
2016-12-04,39
2016-12-11,42
2016-12-18,36
2016-12-25,44
2017-01-01,53
2017-01-08,46
2017-01-15,51
2017-01-22,51
2017-01-29,52
2017-02-05,54
2017-02-12,50
2017-02-19,52
2017-02-26,57
2017-03-05,55
2017-03-12,66
2017-03-19,61
2017-03-26,65
2017-04-02,64
2017-04-09,48
2017-04-16,55
2017-04-23,56
2017-04-30,56
2017-05-07,54
2017-05-14,56
2017-05-21,56
2017-05-28,51
2017-06-04,57
2017-06-11,51
2017-06-18,55
2017-06-25,54
2017-07-02,54
2017-07-09,58
2017-07-16,60
2017-07-23,63
2017-07-30,69
2017-08-06,59
2017-08-13,61
2017-08-20,63
2017-08-27,60
2017-09-03,60
2017-09-10,58
2017-09-17,61
2017-09-24,59
2017-10-01,59
2017-10-08,64
2017-10-15,62
2017-10-22,60
2017-10-29,67
2017-11-05,64
2017-11-12,54
2017-11-19,51
2017-11-26,52
2017-12-03,50
2017-12-10,45
2017-12-17,39
2017-12-24,43
2017-12-31,58
2018-01-07,58
2018-01-14,51
2018-01-21,53
2018-01-28,53
2018-02-04,52
2018-02-11,53
2018-02-18,53
2018-02-25,49
2018-03-04,61
2018-03-11,64
2018-03-18,57
2018-03-25,59
2018-04-01,72
2018-04-08,75
2018-04-15,73
2018-04-22,69
2018-04-29,72
2018-05-06,59
2018-05-13,61
2018-05-20,58
2018-05-27,60
2018-06-03,67
2018-06-10,55
2018-06-17,60
2018-06-24,56
2018-07-01,57
2018-07-08,56
2018-07-15,57
2018-07-22,61
2018-07-29,63
2018-08-05,60
2018-08-12,64
2018-08-19,62
2018-08-26,70
2018-09-02,65
2018-09-09,66
2018-09-16,62
2018-09-23,61
2018-09-30,65
2018-10-07,66
2018-10-14,70
2018-10-21,68
2018-10-28,65
2018-11-04,61
2018-11-11,63
2018-11-18,55
2018-11-25,59
2018-12-02,48
2018-12-09,46
2018-12-16,41
2018-12-23,39
2018-12-30,65
2019-01-06,55
2019-01-13,53
2019-01-20,52
2019-01-27,55
2019-02-03,59
2019-02-10,62
2019-02-17,67
2019-02-24,64
2019-03-03,64
2019-03-10,61
2019-03-17,65
2019-03-24,72
2019-03-31,75
2019-04-07,68
2019-04-14,66
2019-04-21,69
2019-04-28,60
2019-05-05,61
2019-05-12,67
2019-05-19,64
2019-05-26,60
2019-06-02,61
2019-06-09,66
2019-06-16,65
2019-06-23,63
2019-06-30,67
2019-07-07,66
2019-07-14,68
2019-07-21,69
2019-07-28,71
2019-08-04,74
2019-08-11,73
2019-08-18,75
2019-08-25,71
2019-09-01,69
2019-09-08,68
2019-09-15,71
2019-09-22,68
2019-09-29,71
2019-10-06,71
2019-10-13,73
2019-10-20,70
2019-10-27,64
2019-11-03,71
2019-11-10,66
2019-11-17,61
2019-11-24,58
2019-12-01,54
2019-12-08,49
2019-12-15,46
2019-12-22,38
2019-12-29,62
2020-01-05,68
2020-01-12,65
2020-01-19,60
2020-01-26,64
2020-02-02,63
2020-02-09,64
2020-02-16,66
2020-02-23,63
2020-03-01,67
2020-03-08,57
2020-03-15,67
2020-03-22,73
2020-03-29,77
2020-04-05,78
2020-04-12,90
2020-04-19,88
2020-04-26,100
